TraitID,Trait
252,Leaf calcium (Ca) content per leaf dry mass
253,Leaf cobalt (Co) content per leaf dry mass
254,Leaf chromium (Cr) content per leaf dry mass
255,Leaf copper (Cu) content per leaf dry mass
256,Leaf iron (Fe) content per leaf dry mass
257,Leaf magnesium (Mg) content per leaf dry mass
258,Leaf manganese (Mn) content per leaf dry mass
259,Leaf molybdenum (Mo) content per leaf dry mass
260,Leaf sodium (Na) content per leaf dry mass
261,Leaf nickel (Ni) content per leaf dry mass
262,Leaf sulfur (S) content per leaf dry mass
263,Leaf selenium (Se) content per leaf dry mass
264,Leaf silicon (Si) content per leaf dry mass
265,Leaf strontium (Sr) content per leaf dry mass
266,Leaf titanium (Ti) content per leaf dry mass
267,Leaf vanadium (V) content per leaf dry mass
268,Leaf zinc (Zn) content per leaf dry mass
269,Leaf photosynthesis electron transport capacity (Jmax) per leaf area (Farquhar model)
270,Leaf photosynthesis electron transport capacity (Jmax) per leaf dry mass (Farquhar model)
271,Leaf photosynthesis light use efficiency (LUE)
272,Leaf respiration rate in the dark temperature dependence
273,Wood growth ring distinction
275,Wood vessel arrangement 
276,Wood vessel grouping
277,Wood vessel outline
278,Wood vessel perforation plates
279,Wood vessel pits characteristics (vestured pits)
280,Wood vessel helical thickenings
281,"Stem conduit diameter (vessels, tracheids)"
282,Wood vessel element length; stem conduit (vessel and tracheids) element length
283,Wood vessel tyloses and deposits
284,Wood vesselless (vessels absent)
285,Wood tracheids and fibres
286,Wood fibre types
287,Wood septate fibres and parenchyma-like fibre bands
288,Wood fiber wall thickness
289,Wood fiber lengths
290,Wood parenchyma characteristics
291,Wood ray width
292,Wood cellular composition of rays
293,Wood sheath cells
294,Wood tile cells
295,Wood ray cells perforated
296,Wood with disjunctive ray parenchyma cell walls
297,Wood rays per millimetre
298,Wood rayless
299,Wood storied structure
300,Wood oil and mucilage cells presence
301,Wood intercellular canals
302,Wood tubes
303,Wood cambium type (cambial variant)
304,Wood crystal types
308,Wood silica content per wood dry mass
310,Wood heartwood color
311,Wood aromatic
312,Wood heartwood fluorescent
313,Wood water & ethanol extracts: fluorescence & color
314,Wood froth test
315,Wood chrome Azurol-S test
316,Wood burning splinter test
318,Species tolerance to fire
320,Plant vital attributes of persistence and establishment
324,Crown (canopy) length: diameter along the longest axis
325,Crown (canopy) width
326,Stem length
328,Plant vegetative reproduction: number of ramets
329,Plant vegetative reproduction: clonality of ramets
333,Leaf ash content per leaf dry mass
334,Plant vegetative reproduction: lateral spread
335,Plant reproductive phenology timing
336,Seed number per ramet
338,Leaf epidermis cell area
339,Shoot nitrogen (N) content per shoot dry mass
340,Shoot phosphorus (P) content per shoot dry mass
341,Plant clonal growth form
343,Plant life form (Raunkiaer life form)
344,Plant vegetative regeneration capacity
345,Plant defence mechanisms: physical
346,Plant defence mechanisms: chemical
347,Plant mating system
349,Seed shape
350,Seed morphology type
351,Seed number per dispersal unit
353,Seed germination temperature
356,Plant vegetative reproduction: clonal growth organ
357,Plant vegetative reproduction: role of clonal growth organ in plant growth
358,Plant vegetative reproduction: persistence of connection between clonal growth organs
359,Seeding frequency
361,Plant number of offspring shoots per parent shoot per year
362,Stem volume
363,Plant biomass and allometry: Root dry mass per plant
364,Plant height of lowest branch
365,Leaf mesophyll palisade parenchyma cell area
367,Leaf vessel diameter
368,Leaf sclerified tissue per leaf midrib
369,Leaf sclerified tissue per leaf lamina tissue
371,Root vessel diameter
372,Stem fraction of cell wall in xylem
373,Stem fraction of cell wall in pith
374,Stem fraction of cell wall in collenchym
377,"Stem cross-sectional area tissue types: pith, xylem, others"
378,Stem cross-sectional area
379,Root cross-sectional xylem area 
380,Stem fraction of pith
381,Stem cross-sectional area: fraction of xylem
382,Stem cross-sectional area: fraction of tissue other than pith or xylem
383,Stem cross-sectional area: fraction of xylem cell wall
384,Stem cross-sectional area: fraction of collenchyma cell wall
385,Stem cross-sectional area: fraction pith cell wall
386,Stem cross-sectional area: fraction of cell wall
388,Plant biomass and allometry: Leaf dry mass (paracotyledons) per plant
389,Leaf dry mass (paracotyledons)
390,Root phosphorus (P) uptake rate per root dry mass
392,Dispersal unit color
393,Stem internode length
394,Stem specific internode mass
395,Stem internode mass per stem metamer mass
396,Leaf petiole mass per metamer mass
397,Leaf dry mass per metamer dry mass
399,Leaf area per metamer dry mass
401,Stem internode cross-sectional area per leaf surface area
402,Stem internode area
403,Plant biomass and allometry: Shoot dry mass (plant aboveground dry mass) per plant
404,Shoot necromass
406,Stem nitrogen (N) content per stem dry mass
407,Stem carbon (C) content per stem dry mass
408,Plant biomass and allometry: Shoot nitrogen (N) content per plant
409,Shoot carbon/nitrogen (C/N) ratio
410,Leaf area per plant
412,Leaf nitrate reductase activity
413,Leaf chlorophyll content per leaf area
416,Leaf chlorophyll a/b ratio
417,Leaf xanthophyll plus carotene content per leaf area
418,Leaf chlorophyll content per leaf carotene content
419,Wood vessel scalariform perforations
420,Wood: bars per vessel perforation plate
422,Fine root labile carbon (C) compound content per fine root carbon (C) content
423,Fine root cellulose carbon (C) content per fine root carbon (C) content
424,Fine root lignin carbon (C) content per fine root carbon (C) content
425,Coarse woody debris (CWD): lignin content per CWD dry mass
426,Coarse woody debris (CWD): cellulose content per CWD dry mass
427,Stomata conductance: leaf water potential at initial reduction
428,Stomata conductance: leaf water potential at final reduction
429,Stomata conductance: vapor pressure deficit at initial reduction
430,Stomata conductance: vapor pressure deficit at final reduction
431,Litter labile compound content per litter dry mass
432,Coarse woody debris (CWD): carbon/nitrogen (C/N) ratio
435,"Plant carbon (C) allocation to root, stem, leaves"
436,Crown (canopy) rainfall (water) interception 
437,Shoot number of leaves
439,Plant respiration rate per plant nitrogen (N) content 
442,Branch respiration rate per branch dry mass
443,Branch nitrogen (N) content per branch dry mass per leaf nitrogen (N) content per leaf dry mass (bra
444,Branch respiration rate per branch nitrogen (N) content
445,Branch respiration temperature dependence
446,Branch respiration rate per branch surface area
447,Branch carbon (C) content per branch dry mass
448,Branch dry mass per ground area
449,"Plant biomass and allometry: Branch dry mass (alive, dead) per plant"
450,Branch nitrogen (N) content per branch dry mass
451,Branch nitrogen (N) content per ground area
452,Plant biomass and allometry: Branch nitrogen (N) content per plant
453,Branch respiration rate per branch volume
454,Leaf clumping factor
455,Coarse root nitrogen (N) content per ground area
456,Coarse root carbon (C) content per coarse root dry mass
457,Coarse root dry mass per ground area
458,Plant biomass and allometry: Coarse root dry mass per plant
459,Coarse root nitrogen (N) content per coarse root dry mass
462,Root nitrogen (N) uptake rate
463,Root nitrogen (N) uptake rate per NPP
465,Plant biomass and allometry: Coarse root dry mass per plant dry mass
466,Plant biomass and allometry: Fine root dry mass per plant dry mass
468,Fine root nitrogen (N) content per ground area
469,Plant biomass and allometry: Fine root nitrogen (N) content per plant
470,Plant biomass and allometry: Root mass fraction (fraction of root dry mass per whole plant dry mass)
471,Fine root carbon (C) content per fine root dry mass
473,Plant biomass and allometry: Fine root dry mass per plant
474,Leaf and fine root turnover
475,Fine root nitrogen (N) content per fine root dry mass
476,Stem sapwood volume per stem volume
478,Plant biomass and allometry: Wood dry mass per plant dry mass
479,Leaf photosynthesis CO2 compensation point
480,Crown (canopy) ground area fraction covered by projected canopy
481,"Stomata conductance model parameter (Ball-Berry, Jarvis, Leuning)"
486,Leaf photosynthesis electron transport capacity (Jmax) per leaf nitrogen (N) content (Farquhar model
487,Leaf photosynthesis carboxylation capacity (Vcmax) per leaf nitrogen (N) content (Farquhar model)
488,Leaf photosynthesis electron transport capacity (Jmax) temperature dependence (Farquhar model)
489,Crown (canopy) radiation extinction coefficient
490,Leaf area fraction in given age class
491,Leaf carotenoid content per leaf area
494,Leaf dry mass per ground area
496,Leaf respiration coefficient: growth
498,Leaf mineral content per leaf dry mass
499,Leaf respiration coefficient: maintenance
500,Leaf respiration rate in the dark per leaf nitrogen (N) content
501,Crown (canopy) nitrogen (N) content per ground area
502,Plant biomass and allometry: Leaf nitrogen (N) content per plant
503,Leaf protein content per leaf dry mass
504,Leaf Rubisco content per leaf area
505,Leaf starch content per leaf dry mass
506,Leaf sugar content per leaf dry mass
507,Leaf non-structural carbon (TNC) content per leaf dry mass 
508,Leaf dry mass fraction per leaf age class
509,Leaf dry mass per area (LMA) versus leaf nitrogen (N) content 
510,Leaf nitrogen (N) retranslocation prior to leaf senescence
511,Plant number of branches per tree
512,Leaf respiration rate in light per leaf area
513,Root nitrogen (N) content per root dry mass versus leaf nitrogen (N) content per leaf dry mass
514,Root respiration rate per root dry mass
515,Root respiration rate per root nitrogen (N) content
516,Root respiration temperature dependence
517,Root respiration rate per root surface area
518,Woody area index (woody stem area per ground area)
519,Stem respiration rate per stem dry mass
520,Stem respiration rate per stem surface area
521,Stem respiration rate per stem nitrogen (N) content
522,Stem respiration temperature dependence
524,Stem dry mass per ground area
526,Stem sapwood carbon (C) content: empirical form factor for calculation
527,Stem respiration growth coefficient
528,Stem nitrogen (N) content per unit ground area
529,Plant biomass and allometry: Stem nitrogen (N) content per plant
530,Stem surface area per stem dry mass
531,Stem surface area per stem volume
532,Stem respiration rate per stem volume
533,Leaf photosynthesis light response curvatur
534,Leaf photosynthesis temperature dependence
535,Leaf light transmittance
537,Leaf photosynthesis carboxylation capacity (Vcmax) temperature dependence (Farquhar model)
539,Leaf chlorine (Cl) content per leaf dry mass
540,Leaf scandium (Sc) content per leaf dry mass
541,Leaf arsenic (As) content per leaf dry mass
542,Leaf bromine (Br) content per leaf dry mass
543,Leaf rubidium (Rb) content per leaf dry mass
544,Leaf silver (Ag) content per leaf dry mass
545,Leaf cadmium (Cd) content per leaf dry mass
546,Leaf antimony (Sb) content per leaf dry mass
547,Leaf caesium (Cs) content per leaf dry mass
548,Leaf lanthanum (La) content per leaf dry mass
549,Leaf cerium (Ce) content per leaf dry mass
550,Leaf neodymium (Nd) content per leaf dry mass
551,Leaf samarium (Sm) content per leaf dry mass
552,Leaf europium (Eu) content per leaf dry mass
553,Leaf gadolinium (Gd) content per leaf dry mass
554,Leaf terbium (Tb) content per leaf dry mass
555,Leaf dysprosium (Dy) content per leaf dry mass
556,Leaf ytterbium (Yb) content per leaf dry mass
557,Leaf lutetium (Lu) content per leaf dry mass
558,Leaf gold (Au) content per leaf dry mass
559,Leaf mercury (Hg) content per leaf dry mass
560,Leaf thorium (Th) content per leaf dry mass
561,Leaf uranium (U) content per leaf dry mass
562,Leaf hafnium (Hf) content per leaf dry mass
563,Leaf tantalum (Ta) content per leaf dry mass
564,Wood secretory elements
565,Wood silica (SiO2) bodies
567,Plant height of lowest branch versus total plant height (furcation index)
568,Root radial oxygen loss
570,Leaf carbon (C) content per leaf area
572,Leaf water storage capacity (WSC)
573,Leaf mesophyll cell area
574,Species US Federal T/E Status
575,Species US Wetland Indicator
581,Flower conspicuous
582,Leaf color
583,Leaf porosity
585,Fruit/seed color
586,Fruit/seed conspicuous
587,Plant growth rate
593,Species habitat characterisation / Plant requirement: soil texture
595,Species tolerance to CaCO3
596,Seed germination requirement
597,Flowering requirement (requirement for fertility)
598,Species tolerance to hedges
599,Plant moisture use type
600,Species habitat characterisation / Plant requirement: soil pH
601,Species tolerance to planting density
602,Species habitat characterisation / Plant requirement: precipitation
603,Species tolerance to shade
604,Plant human usage types
605,Fruit/seed abundance
609,Plant propagation type
610,Seed spread rate
611,Seedling vigor
613,Plant vegetative reproduction: spread rate
614,"Fine root length per fine root dry mass (specific fine root length, SRL)"
615,Leaf pH
616,Stem phosphorus (P) content per stem dry mass
617,Bark carbon (C) content per bark dry mass
618,Bark nitrogen (N) content per bark dry mass
619,Bark phosphorus (P) content per bark dry mass
620,Coarse root phosphorus (P) content per coarse root dry mass
621,"Plant relationship of stem mass, height and diameter"
623,Stem calcium (Ca) content per stem dry mass
624,Stem magnesium (Mg) content per stem dry mass
625,Stem aluminium (Al) content per stem dry mass
626,Stem iron (Fe) content per stem dry mass
627,Stem sodium (Na) content per stem dry mass
628,Stem potassium (K) content per stem dry mass
629,Stem sulfur (S) content per stem dry mass
630,Stem mercury (Hg) content per stem dry mass
631,Stem antimony (Sb) content per stem dry mass
632,Stem molybdenum (Mo) content per stem dry mass
633,Stem cadmium (Cd) content per stem dry mass
634,Stem lead (Pb) content per stem dry mass
635,Stem nickel (Ni) content per stem dry mass
636,Stem copper (Cu) content per stem dry mass
637,Stem thallium (Ti) content per stem dry mass
638,Stem zinc (Zn) content per stem dry mass
639,Stem arsenic (As) content per stem dry mass
640,Stem chromium (Cr) content per stem dry mass
641,Coarse root calcium (Ca) content per coarse root dry mass
642,Coarse root magnesium (Mg) content per coarse root dry mass
643,Coarse root aluminium (Al) content per coarse root dry mass
644,Coarse root iron (Fe) content per coarse root dry mass
645,Coarse root sodium (Na) content per coarse root dry mass
646,Coarse root potassium (K) content per coarse root dry mass
647,Coarse root sulfur (S) content per coarse root dry mass
648,Coarse root mercury (Hg) content per coarse root dry mass
649,Coarse root antimony (Sb) content per coarse root dry mass
650,Coarse root molybdenum (Mo) content per coarse root dry mass
651,Coarse root cadmium (Cd) content per coarse root dry mass
652,Coarse root lead (Pb) content per coarse root dry mass
653,Coarse root nickel (Ni) content per coarse root dry mass
654,Coarse root copper (Cu) content per coarse root dry mass
655,Coarse root thallium (Ti) content per coarse root dry mass
656,Coarse root zinc (Zn) content per coarse root dry mass
657,Coarse root arsenic (As) content per coarse root dry mass
658,Coarse root chromium (Cr) content per coarse root dry mass
660,Leaf nitrogen (N) content organic per leaf dry mass
661,Leaf nitrate (NO3-) content per leaf dry mass
662,Root sugar content per root dry mass
663,Leaf respiration rate in light per dry mass
664,Leaf respiration rate in light per leaf respiration rate in the dark
665,"Leaf respiration rate in the dark minus respiration in light, mass based"
666,Leaf photosynthesis oxygenation capacity (Farquhar model)
667,Leaf nitrogen (N) content per dry mass (cotyledons)
668,Plant nitrogen (N) content per plant dry mass
669,Plant biomass and allometry: Root nitrogen (N) content per plant nitrogen (N) content
670,Plant biomass and allometry: Stem nitrogen (N) content per plant nitrogen (N) content
671,Plant biomass and allometry: Leaf nitrogen (N) content per plant nitrogen (N) content
674,Leaf carbon (C) content per dry mass (cotyledons)
675,Root total non-structural carbon (TNC) content per root dry mass
676,Stem total non-structural carbon (TNC) content per stem dry mass
677,"Leaf emergences (pubescence, pruinescence, hairs, spines, thorns)"
678,Seed mucilaginous
679,Plant palatability
681,Plant secondary compounds
683,Root phosphorus (P) content per root dry mass
684,Reproductive structures nitrogen (N) content per reproductive structures dry mass
685,Reproductive structures phosphorus (P) content per reproductive structures dry mass
686,Stem nitrogen/phosphorus (N/P) ratio
687,Root nitrogen/phosphorus (N/P) ratio
688,Reproductive structures nitrogen/phosphorus (N/P) ratio
689,"Twig (fine branch smaller 2mm) dry mass per twig fresh mass (twig dry matter content, TDMC)"
690,Twig (fine branch smaller 2mm) nitrogen (N) content per twig dry mass
691,Twig (fine branch smaller 2mm) carbon (C) content per twig dry mass
692,Twig (fine branch smaller 2mm) lignin content per twig dry mass
693,Twig (fine branch smaller 2mm) pH
694,Twig (fine branch smaller 2mm) carbon/nitrogen (C/N) ratio
695,Fine root dry mass per fine root fresh mass (fine root dry matter content; RDMC)
698,Fine root phosphorus (P) content per fine root dry mass
699,Fine root pH
700,Plant biomass and allometry: Plant dry mass
701,Shoot potassium (K) content per shoot dry mass
702,Shoot magnesium (Mg) content per shoot dry mass
703,Shoot manganese (Mn) content per shoot dry mass
704,Shoot calcium (Ca) content per shoot dry mass
705,Shoot iron (Fe) content per shoot dry mass
707,Leaf water volume per leaf volume
708,Leaf solid volume per leaf volume
709,Leaf cuticular conductance
710,Leaf water content at turgor loss point
711,Leaf water capacitance
713,Leaf water storage time constant
714,Leaf water storage transfer resistance
716,Leaf cuticula thickness
719,"Xylem hydraulic vulnerability, xylem cavitation vulnerability, embolism vulnerability, (P20, P50, P8"
720,Leaf photosynthesis irradiance at saturation 
721,Leaf photosynthesis light compensation point
722,Crown (canopy) density
723,Leaf mid vein length
724,Leaf mid vein cross-sectional area
725,Leaf cell lumen area per leaf area
726,Leaf cell number per leaf area
727,Leaf cell lumen length
728,Leaf cell lumen width
729,Leaf mesophyll cell lumen thickness
731,Leaf anthocyanin content per leaf dry mass
732,Leaf chlorophyll content per leaf nitrogen (N) content
733,Stomata guard cell size
734,Stomata pore length
735,"Stomata pore area per leaf surface area (abaxial, adaxial, total)"
738,Leaf veins number of vein orders
739,Leaf veins number of veins on first order
740,Leaf vein density
741,Leaf veins free ending density
742,Leaf mid vein xylem conduits number
743,Leaf mid vein vascular bundle diameter
744,Leaf mid vein vessel diameter
745,Leaf mid vein conductivity
748,Leaf hydraulic conductance
749,Crown (canopy) transpiration
751,Leaf epidermis conductance
752,Plant hydraulic conductance
753,Leaf chlorophyll fluorescence
755,Leaf lead (Pb) content per leaf dry mass
758,Litter ash content per litter dry mass
759,Leaflet number per leaf
761,Species habitat characterisation / Plant requirement: soil type
762,Species understory/overstory
763,Moss and fern spore length
764,Moss and fern spore width
766,Moss and fern spore volume
767,Moss and fern spore mass
768,Litterfall per ground area
770,Plant mortality rate
773,Crown (canopy) height (base to top)
775,Shoot carbon (C) content per shoot dry mass
776,Plant biomass and allometry: Plant surface area per plant dry mass of all green parts
777,Leaf petiole fresh mass
778,Leaf petiole dry mass
779,Leaf petiole diameter
780,Stomata area per leaf area
781,Stomata distribution to ab- and adaxial leaf surfaces
782,Leaf volume of chloroplasts
783,Leaf number of chloroplasts per leaf mesopyll cell
785,Root dry mass per root fresh mass (root dry matter content; RDMC)
788,Plant light requirement
789,Leaf vascular bundle volume fraction: xylem
792,Leaf vascular bundle cell size (area): xylem 
793,Leaf vascular bundle cell size (area): phloem 
794,Leaf vascular bundle cell size (area): sclerenchym 
795,Leaf vascular bundle volume fraction: phloem
796,Leaf vascular bundle volume fraction: sclerenchym
797,Stem fraction of collenchym
798,Root dry mass per ground area
799,Stem nitrogen (N) content per stem dry mass vs leaf nitrogen (N) content per leaf dry mass
800,Plant biomass and allometry: Wood dry mass per plant
801,Stem cross-sectional area at base
804,Leaf mesophyll palisade parenchym thickness
805,Leaf mesophyll spongiophyll thickness
806,Leaf hypodermis thickness
807,Crown (canopy) mass per ground area
809,Leaf carotenoid content per leaf dry mass
810,Leaf anthocyanin content per leaf area
813,Plant morphological adaptations: seed or dispersal unit metamorphoses
814,Plant morphological adaptations: root metamorphoses
815,Root morphological adaptations: aerenchyma
816,Plant morphological adaptations: storage organs
817,Plant morphological adaptations: shoot metamorphoses
819,Plant resprouting capacity
822,Species occurrence range: ecological occurrence range
823,Species occurrence range: continentality
824,Species occurrence range: invasiveness
825,Species occurrence range: climate type
826,Species occurrence range: altitude of origin
827,Species occurrence range: origin zonal
828,Twig (fine branch smaller 2mm) phosporus (P) content per twig dry mass
829,Bark carbon (C) isotope signature (delta 13C)
830,Bark carbon/nitrogen (C/N) ratio
831,Bark crystals
832,Bark nitrogen (N) isotope signature (delta 15N)
833,"Bark persistence (deciduous, persistent)"
834,Bark sclereids arrangement
835,"Bark secondary compounds: oil, tannins, latex, slime"
836,Bark sieve tubes grouping
837,Bark structure 
838,"Bark surface structure, texture, age"
839,Bark thickness per stem diameter
840,Coarse woody debris (CWD) branch: calcium (Ca) content per branch CWD dry mass
841,Coarse woody debris (CWD) branch: carbon (C) content per branch CWD dry mass
842,Coarse woody debris (CWD) branch: carbon/nitrogen (C/N) ratio
843,Coarse woody debris (CWD) branch: cellulose content per branch CWD dry mass
844,Coarse woody debris (CWD) branch: copper (Cu) content per branch CWD dry mass
845,Coarse woody debris (CWD) branch: decomposition rate
846,Coarse woody debris (CWD) branch: decomposition rate constant
847,Coarse woody debris (CWD) branch: density
848,Coarse woody debris (CWD) branch: hemicellulose content per branch CWD dry mass
849,Coarse woody debris (CWD) branch: iron (Fe) content per branch CWD dry mass
850,Coarse woody debris (CWD) branch: lignin content per branch CWD dry mass
851,Coarse woody debris (CWD) branch: lignin/nitrogen (lignin/N) ratio
